OBJECTID,FeatureUID,Label1,Country,FeatureNam,FeatureTyp,DsgAttr01,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr08,DsgAttr09,LocOpStat,MemoOther,DsgAttr10,MemoLoc,Latitude,Longitude,LocConfid,LocSource1,InfSource1,OperateNam,OwnerName1,OwnerName2,OwnerName3,OwnerName4,ADM1,DsgAttr07,Comment
405,COD031,COD31,Congo (Kinshasa),Mibale Well,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,Thousand 42-gallon barrels,c,Assumed Active,"Capacity is a combination of Mibale, Motoba, and Tshiala offshore Wells.","COD053, COD085",Offshore,-5.898668,12.235458,A,Google Earth-31,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Muanda International Oil Co.,Perenco Group [50%],Inpex Corp. [32.3%],ODS Ltd. [17.7%],<null>,Offshore,3650,
406,COD032,COD32,Congo (Kinshasa),Mine at Mabende,Mines and Quarries,Metal,Copper,Mine,N,N,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Mabende,-11.162192,27.455657,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",CNMC Huachin Mining Mabende,<null>,<null>,<null>,<null>,Haut-Katanga,33000,
407,COD033,COD33,Congo (Kinshasa),Mine near Kolwezi,Mines and Quarries,Metal,Copper,Mine,N,N,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Near Kolwezi,-10.771608,25.913612,A,DRC Mining Cadastre Portal,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",La Minière de Kalumbwe Myunga (MKM),<null>,<null>,<null>,<null>,Lualaba,29000,
408,COD034,COD34,Congo (Kinshasa),Mines at Mbuji Mayi,Mines and Quarries,Gemstone,Diamond,<null>,N,N,2018,Thousand carats,<null>,Assumed Active,Least equity percentage share was owned by Mwana Africa plc. Location provided is for one mine in the specified area of study.,<null>,Kasai-Oriental Province,-6.176131,23.618966,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Minière de Bakwanga (MIBA),Government [80%],Sibeka Group [20%],<null>,<null>,Kasaï-Oriental,900,
409,COD035,COD35,Congo (Kinshasa),Mines at Rwangara and Shakubangwa,Mines and Quarries,Gemstone,Tourmaline,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,Estimated capacity is a combination of mines at Rwangara and Shakubangwa in Nord Kivu Province.,<null>,Nord-Kivu Province,-1.713889,28.90239,A,IPIS,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Nord-Kivu,15,
410,COD036,COD36,Congo (Kinshasa),Mines in former Katanga Province,Mines and Quarries,Metal,Copper,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Haut-Katanga Province,-11.01514,26.76513,A,DRC Mining Cadastre Portal,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Shituru Mining Corp. SPRL,<null>,<null>,<null>,<null>,Haut-Katanga,40000,
411,COD037,COD37,Congo (Kinshasa),Mines in former Katanga Province,Mines and Quarries,Metal,Cobalt,Mine,N,Y,2018,Metric tons,e,Assumed Active,Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Former Katanga Province,-10.879621,26.613727,A,DRC Mining Cadastre Portal,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Minière de Kasombo,<null>,<null>,<null>,<null>,Haut-Katanga,2600,
412,COD038,<null>,Congo (Kinshasa),Mines in Haut-Katanga Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Haut-Katanga Province,-8.626877,27.336393,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Haut-Katanga,340,
413,COD038,COD38,Congo (Kinshasa),Mines in Haut-Katanga Province,Mines and Quarries,Metal,Tin,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Haut-Katanga Province,-8.626877,27.336393,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Haut-Katanga,3700,
414,COD039,<null>,Congo (Kinshasa),Mines in Haut-Lomani Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Haut-Lomani Province,-9.424441,25.932265,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Haut-Lomami,700,
415,COD039,COD39,Congo (Kinshasa),Mines in Haut-Lomani Province,Mines and Quarries,Metal,Tin,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Haut-Lomani Province,-9.424441,25.932265,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Haut-Lomami,5300,
416,COD040,COD40,Congo (Kinshasa),Mines in Ituri Provice,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,"Estimated capacity is a combination of mines in various locations, including Ituri, Maniema, Nord-Kivu, Sud-Kivu, and Tanganyika Provinces. Location provided is for one mine in the specified area of study.","COD044, COD047, COD048, COD051","Various locations, including Ituri Province",1.974377,30.172654,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Ituri,15,
417,COD041,COD41,Congo (Kinshasa),Mines in Kasai Province,Mines and Quarries,Gemstone,Diamond,<null>,N,N,2018,Thousand carats,e,Assumed Active,Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Kasai Province,-6.163792,20.688752,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Kasaï,2200,
418,COD042,COD42,Congo (Kinshasa),Mines in Kasai-Central Province,Mines and Quarries,Gemstone,Diamond,<null>,N,N,2018,Thousand carats,e,Assumed Active,Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Kasai-Central Province,-5.828906,22.373182,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Kasaï-Central,1400,
419,COD043,COD43,Congo (Kinshasa),Mines in Kasai-Oriental Province,Mines and Quarries,Gemstone,Diamond,<null>,N,Y,2018,Thousand carats,e,Assumed Active,Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Kasai-Oriental Province,-6.16147,23.530691,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Kasaï-Oriental,13000,
420,COD044,COD44,Congo (Kinshasa),Mines in Maniema Province,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,"Estimated capacity is a combination of mines in various locations, including Ituri, Maniema, Nord-Kivu, Sud-Kivu, and Tanganyika Provinces. Location provided is for one mine in the specified area of study.","COD040, COD047, COD048, COD051","Various locations, including Maniema Province",-3.570961,26.698271,A,Google Earth-29,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Maniema,15,
421,COD045,<null>,Congo (Kinshasa),Mines in Maniema Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Maniema Province,-2.580177,26.718755,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Maniema,80,
422,COD045,COD45,Congo (Kinshasa),Mines in Maniema Province,Mines and Quarries,Metal,Tungsten,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Wolframite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Maniema Province,-2.580177,26.718755,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Maniema,110,
423,COD045,<null>,Congo (Kinshasa),Mines in Maniema Province,Mines and Quarries,Metal,Tin,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Maniema Province,-2.580177,26.718755,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Maniema,4400,
424,COD046,COD46,Congo (Kinshasa),Mines in Nord-Kivu Province,Mines and Quarries,Metal,Tungsten,<null>,Y,Y,2018,Metric tons,e,C&M,Wolframite. Estimated capacity. Not operating at the end of 2018. Location provided is for one mine in the specified area of study.,<null>,Nord-Kivu Province,-1.325366,27.736861,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Nord-Kivu,90,
425,COD046,<null>,Congo (Kinshasa),Mines in Nord-Kivu Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Nord-Kivu Province,-1.325366,27.736861,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Nord-Kivu,1500,
426,COD046,<null>,Congo (Kinshasa),Mines in Nord-Kivu Province,Mines and Quarries,Metal,Tin,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Nord-Kivu Province,-1.325366,27.736861,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Nord-Kivu,2300,
427,COD047,COD47,Congo (Kinshasa),Mines in Nord-Kivu Province,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,"Estimated capacity is a combination of mines in various locations, including Ituri, Maniema, Nord-Kivu, Sud-Kivu, and Tanganyika Provinces.","COD040, COD044, COD048, COD051","Various locations, including Nord-Kivu Province",-0.47775,28.78578,A,IPIS,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Nord-Kivu,15,
428,COD048,COD48,Congo (Kinshasa),Mines in Sud-Kivu Province,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,"Estimated capacity is a combination of mines in various locations, including Ituri, Maniema, Nord-Kivu, Sud-Kivu, and Tanganyika Provinces.","COD040, COD044, COD047, COD051","Various locations, including Sud-Kivu Province",-4.743778,28.7305,A,IPIS,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Sud-Kivu,15,
429,COD049,COD49,Congo (Kinshasa),Mines in Sud-Kivu Province,Mines and Quarries,Metal,Tungsten,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Wolframite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Sud-Kivu Province,-2.266235,27.607986,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Sud-Kivu,240,
430,COD049,<null>,Congo (Kinshasa),Mines in Sud-Kivu Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Sud-Kivu Province,-2.266235,27.607986,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Sud-Kivu,300,
431,COD049,<null>,Congo (Kinshasa),Mines in Sud-Kivu Province,Mines and Quarries,Metal,Tin,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity. Location provided is for one mine in the specified area of study.,<null>,Sud-Kivu Province,-2.266235,27.607986,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Sud-Kivu,3700,
432,COD050,COD50,Congo (Kinshasa),Mines in Tanganyika Province,Mines and Quarries,Metal,Tin,Mine,N,Y,2018,Metric tons,e,Assumed Active,Cassiterite. Estimated capacity.,<null>,Tanganyika Province,-7.314083,27.40981,A,IPIS,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Tanganyika,7400,
433,COD051,COD51,Congo (Kinshasa),Mines in Tanganyika Province,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Metric tons,"c,e",Assumed Active,"Estimated capacity is a combination of mines in various locations, including Ituri, Maniema, Nord-Kivu, Sud-Kivu, and Tanganyika Provinces. Location provided is for one mine in the specified area of study.","COD040, COD044, COD047, COD048","Various locations, including Tanganyika Province",-5.878879,29.19615,A,Google Earth-30,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Tanganyika,15,
434,COD052,COD52,Congo (Kinshasa),Mines in Tanganyika Province,Mines and Quarries,Metal,Tantalum,<null>,Y,Y,2018,Metric tons,e,Assumed Active,Columbite-tantalite. Estimated capacity.,<null>,Tanganyika Province,-5.613722,28.29519,A,IPIS,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Artisanal and small scale miners (ASM),<null>,<null>,<null>,<null>,Tanganyika,1000,
435,COD053,COD53,Congo (Kinshasa),Motoba Well,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,Thousand 42-gallon barrels,c,Assumed Active,"Capacity is a combination of Mibale, Motoba, and Tshiala offshore Wells.","COD031, COD085",Offshore,-5.963264,12.218744,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Muanda International Oil Co.,Perenco Group [50%],Inpex Corp. [32.3%],ODS Ltd. [17.7%],<null>,Offshore,3650,
436,COD054,COD54,Congo (Kinshasa),Muanda Well,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,Thousand 42-gallon barrels,c,Assumed Active,"Capacity is a combination of Kifuku, Kinkasi, Liawenda, Makelekese, Muanda, Nsiamfuma, and Tschiende onshore Wells.","COD017, COD023 ,COD029, COD084",Onshore,-5.936791,12.405475,A,Google Earth-31,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Perenco REP,Perenco Group [0%],Congolaise des Hydrocarbures SARL<null>,<null>,<null>,Kongo-Central,5480,
437,COD055,<null>,Congo (Kinshasa),Mukondo (Kakande) Mountain Mine,Mines and Quarries,Metal,Cobalt,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Near Kakanda,-10.73311,26.40412,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Boss Mining SPRL,Eurasian Resources Group Plc [70%],La Générale des Carrières et des Mines SA (Gécamines) [30%],<null>,<null>,Lualaba,10000,
438,COD055,COD55,Congo (Kinshasa),Mukondo (Kakande) Mountain Mine,Mines and Quarries,Metal,Copper,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Near Kakanda,-10.73311,26.40412,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Boss Mining SPRL,Eurasian Resources Group Plc [70%],La Générale des Carrières et des Mines SA (Gécamines) [30%],<null>,<null>,Lualaba,40000,
439,COD056,<null>,Congo (Kinshasa),Mutanda Mine,Mines and Quarries,Metal,Cobalt,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Lualaba Province,-10.78667,25.80972,A,SNL,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Mutanda Mining SPRL,Glencore Plc [69%],Fleurette Properties Ltd. [31%],<null>,<null>,Lualaba,28000,
440,COD056,COD56,Congo (Kinshasa),Mutanda Mine,Mines and Quarries,Metal,Copper,Mine,Y,Y,2018,Metric tons,e,Assumed Active,Estimated capacity.,<null>,Near Kolwezi,-10.78667,25.80972,A,SNL,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Mutanda Mining SPRL,Glencore Plc [69%],Fleurette Properties Ltd. [31%],<null>,<null>,Lualaba,220000,
441,COD057,COD57,Congo (Kinshasa),Namoya Mine,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Kilograms,<null>,Assumed Active,<null>,<null>,Maniema Province,-4.007299,27.554395,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Banro Corp.,<null>,<null>,<null>,<null>,Maniema,4100,
442,COD058,COD58,Congo (Kinshasa),Plant at Likasi,Mineral Processing Plants,Metal,Copper,Refined,N,Y,2018,Metric tons,e,C&M,Not operating at the end of 2018. Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Likasi,-11.003968,26.747257,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Kai Peng Mining Ltd.,<null>,<null>,<null>,<null>,Haut-Katanga,19000,
443,COD058,<null>,Congo (Kinshasa),Plant at Likasi,Mineral Processing Plants,Industrial,Sulfur,Sulfuric acid,N,Y,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Likasi,-11.003968,26.747257,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",La Générale des Carrières et des Mines SA (Gécamines),<null>,<null>,<null>,<null>,Haut-Katanga,68000,
444,COD059,COD59,Congo (Kinshasa),Plant at Mabende,Mineral Processing Plants,Metal,Copper,Refined,N,N,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Mabende,-11.139443,27.4516,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",CNMC Huachin Mining Mabende,<null>,<null>,<null>,<null>,Haut-Katanga,33000,
445,COD060,COD60,Congo (Kinshasa),Plant at Mutanda Mine,Mineral Processing Plants,Industrial,Sulfur,Sulfuric acid,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Near Kolwezi,-10.795211,25.796773,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Mutanda Mining SPRL,<null>,<null>,<null>,<null>,Lualaba,130000,
446,COD061,COD61,Congo (Kinshasa),Plant at Songololo,Mineral Processing Plants,Industrial,Cement,<null>,N,N,2018,Thousand metric tons,<null>,Assumed Active,<null>,<null>,Bas-Congo Province,-5.631217,14.20482,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Lucky Cement Ltd.,Groupe Rawji [100%],<null>,<null>,<null>,Kongo-Central,1260,
447,COD062,COD62,Congo (Kinshasa),Plant in former Katanga Province,Mineral Processing Plants,Metal,Copper,Refined,Y,Y,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity. The name of the plant is Shituru Electrolysis Plant (Smelter) in USGS Copper study project.,<null>,Former Katanga Province,-11.027368,26.754318,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Shituru Mining Corp. SPRL,<null>,<null>,<null>,<null>,Haut-Katanga,40000,
448,COD063,COD63,Congo (Kinshasa),Plant in former Katanga Province,Mineral Processing Plants,Metal,Copper,Smelter,N,Y,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Former Katanga Province,-10.753131,25.423587,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",La Compagnie Minière de Musonoie Global SAS,<null>,<null>,<null>,<null>,Lualaba,32000,
449,COD064,COD64,Congo (Kinshasa),Plant in Likasi,Mineral Processing Plants,Metal,Copper,Smelter,N,N,2018,Metric tons,<null>,Assumed Active,Largest facilities listed; also several more small producers.,<null>,Likasi,-11.004444,26.746111,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Rubamin SPRL,<null>,<null>,<null>,<null>,Haut-Katanga,25000,
450,COD065,COD65,Congo (Kinshasa),Plant in Lubumbashi,Mineral Processing Plants,Metal,Copper,Smelter,Y,Y,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Lubumbashi,-11.682445,27.471376,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Congo Dong Fang International Mining sprl,<null>,<null>,<null>,<null>,Haut-Katanga,30000,
451,COD066,COD66,Congo (Kinshasa),Plant in Lubumbashi,Mineral Processing Plants,Industrial,Sulfur,Sulfuric acid,Y,Y,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Lubumbashi,-11.643885,27.503328,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Chemaf SPRL,<null>,<null>,<null>,<null>,Haut-Katanga,170000,
452,COD067,COD67,Congo (Kinshasa),Plant near Kimpese,Mineral Processing Plants,Industrial,Cement,<null>,N,N,2018,Thousand metric tons,<null>,Assumed Active,<null>,<null>,Near Kimpese,-5.538515,14.336325,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",PPC Barnet DRC Manufacturing S.A.,PPC Ltd. [69%],Barnet Group [21%],<null>,<null>,Kongo-Central,1000,
453,COD068,COD68,Congo (Kinshasa),Plant near Kipoi Mine,Mineral Processing Plants,Metal,Copper,Refined,N,N,2018,Metric tons,<null>,Assumed Active,Largest facilities listed; also several more small producers.,<null>,Near Kipoi Mine,-11.166406,27.014127,A,Google Earth-184,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Tiger Resources Ltd.,Tiger Resources Ltd. [60%],La Générale des Carrières et des Mines SA (Gécamines) [40%],<null>,<null>,Haut-Katanga,32500,
454,COD069,COD69,Congo (Kinshasa),Plant near Kolwezi,Mineral Processing Plants,Metal,Copper,Refined,N,Y,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Near Kolwezi,-10.7766,25.916224,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",La Minière de Kalumbwe Myunga (MKM),<null>,<null>,<null>,<null>,Lualaba,29000,
455,COD070,COD70,Congo (Kinshasa),Plant near Kolwezi,Mineral Processing Plants,Metal,Copper,Refined,Y,Y,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Kolwezi,-10.730567,25.448244,A,Google Earth; Company website,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Compagnie Minière de Luisha (COMILU),<null>,<null>,<null>,<null>,Lualaba,31000,
456,COD071,COD71,Congo (Kinshasa),Plant near Mashamba West Mine,Mineral Processing Plants,Metal,Copper,Refined,N,N,2018,Metric tons,e,Assumed Active,Largest facilities listed; also several more small producers. Estimated capacity.,<null>,Near Mashamba West Mine,-10.721927,25.364705,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Congo (Kinshasa) Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sicomines,<null>,<null>,<null>,<null>,Lualaba,80000,
